ID,start_date,attribution_ID,attribution_date,attribution_basis_clean,receiver_country,initiator_country,incident_type,receiver_region
2,2000-01-01,8664,,Attacker confirms,Armenia,Azerbaijan,Disruption,"['ASIA', 'CENTAS', 'CSTO']"
3,2000-01-01,3,,Attacker confirms,Azerbaijan,Armenia,Disruption,"['ASIA', 'CENTAS']"
4,2000-05-20,4,,Attacker confirms,Taiwan,China,Disruption,"['ASIA', 'SCS']"
5,2001-05-01,5,,Attacker confirms,United States,China,Disruption,"['NATO', 'NORTHAM']"
6,2001-05-01,6,,Attacker confirms,China,United States,Disruption,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
7,2001-05-01,7,,Attacker confirms,Japan,"Korea, Republic of",Disruption,"['ASIA', 'SCS', 'NEA']"
8,2001-08-01,8661,,Attacker confirms,Afghanistan,Unknown,Disruption,"['ASIA', 'SASIA']"
9,2001-10-22,8662,,Attacker confirms,India,Pakistan,Disruption,"['ASIA', 'SASIA', 'SCO']"
10,2002-01-01,10,2013-01-01,Attribution by third-party,United States,United States,Data theft,"['NATO', 'NORTHAM']"
11,2003-01-01,11,2005-01-01,Political attribution,United States,China,Data theft,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
11,2003-01-01,11,2005-01-01,Political attribution,United Kingdom,China,Data theft,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
11,2003-01-01,12,2005-01-01,Industry attribution,United States,China,Data theft,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
11,2003-01-01,12,2005-01-01,Industry attribution,United Kingdom,China,Data theft,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
13,2004-04-01,15,2009-01-01,Attribution by third-party,"Korea, Republic of","Korea, Democratic People's Republic of",Disruption,"['ASIA', 'SCS', 'NEA']"
14,2004-07-01,8666,,Attacker confirms,Taiwan,China,Disruption,"['ASIA', 'SCS']"
14,2004-07-01,8665,,Media-based attribution,Taiwan,China,Disruption,"['ASIA', 'SCS']"
15,2004-07-01,18,2004-01-01,Attribution by third-party,"Korea, Republic of",China,Data theft,"['ASIA', 'SCS', 'NEA']"
16,2004-07-01,8677,2015-01-01,Political attribution,Greece,United States,Data theft,"['EUROPE', 'NATO', 'EU(MS)', 'BALKANS']"
16,2004-07-01,8677,2015-01-01,Political attribution,Greece,United States,Hijacking with Misuse,"['EUROPE', 'NATO', 'EU(MS)', 'BALKANS']"
