ID,start_date,industry_date,political_date,attacker_date,third_party_date,other_date,date_difference_ind,date_difference_pol,date_difference_att,date_difference_third,date_difference_other,date_difference_ind_months,date_difference_pol_months,date_difference_att_months,date_difference_third_months,date_difference_other_months,average_overall,receiver_country,initiator_country,incident_type,receiver_region
127,2010-01-01,2012-01-01,,,2012-01-01,2012-01-01,730,,,730,730,24.3,,,24.3,24.3,24.3,"Iran, Islamic Republic of",Unknown,Data theft,"['ASIA', 'MENA', 'MEA', 'AFRICA', 'NAF', 'GULFC']"
127,2010-01-01,2012-01-01,,,2012-01-01,2012-01-01,730,,,730,730,24.3,,,24.3,24.3,24.3,"Iran, Islamic Republic of",Unknown,Hijacking with Misuse,"['ASIA', 'MENA', 'MEA', 'AFRICA', 'NAF', 'GULFC']"
127,2010-01-01,2012-01-01,,,2012-01-01,2012-01-01,730,,,730,730,24.3,,,24.3,24.3,24.3,Palestine,Unknown,Data theft,"['ASIA', 'MENA', 'MEA', 'AFRICA', 'NAF', 'GULFC']"
127,2010-01-01,2012-01-01,,,2012-01-01,2012-01-01,730,,,730,730,24.3,,,24.3,24.3,24.3,Palestine,Unknown,Hijacking with Misuse,"['ASIA', 'MENA', 'MEA', 'AFRICA', 'NAF', 'GULFC']"
127,2010-01-01,2012-01-01,,,2012-01-01,2012-01-01,730,,,730,730,24.3,,,24.3,24.3,24.3,Sudan,Unknown,Data theft,"['ASIA', 'MENA', 'MEA', 'AFRICA', 'NAF', 'GULFC']"
127,2010-01-01,2012-01-01,,,2012-01-01,2012-01-01,730,,,730,730,24.3,,,24.3,24.3,24.3,Sudan,Unknown,Hijacking with Misuse,"['ASIA', 'MENA', 'MEA', 'AFRICA', 'NAF', 'GULFC']"
127,2010-01-01,2012-01-01,,,2012-01-01,2012-01-01,730,,,730,730,24.3,,,24.3,24.3,24.3,Syria,Unknown,Data theft,"['ASIA', 'MENA', 'MEA', 'AFRICA', 'NAF', 'GULFC']"
127,2010-01-01,2012-01-01,,,2012-01-01,2012-01-01,730,,,730,730,24.3,,,24.3,24.3,24.3,Syria,Unknown,Hijacking with Misuse,"['ASIA', 'MENA', 'MEA', 'AFRICA', 'NAF', 'GULFC']"
127,2010-01-01,2012-01-01,,,2012-01-01,2012-01-01,730,,,730,730,24.3,,,24.3,24.3,24.3,Lebanon,Unknown,Data theft,"['ASIA', 'MENA', 'MEA', 'AFRICA', 'NAF', 'GULFC']"
127,2010-01-01,2012-01-01,,,2012-01-01,2012-01-01,730,,,730,730,24.3,,,24.3,24.3,24.3,Lebanon,Unknown,Hijacking with Misuse,"['ASIA', 'MENA', 'MEA', 'AFRICA', 'NAF', 'GULFC']"
127,2010-01-01,2012-01-01,,,2012-01-01,2012-01-01,730,,,730,730,24.3,,,24.3,24.3,24.3,Saudi Arabia,Unknown,Data theft,"['ASIA', 'MENA', 'MEA', 'AFRICA', 'NAF', 'GULFC']"
127,2010-01-01,2012-01-01,,,2012-01-01,2012-01-01,730,,,730,730,24.3,,,24.3,24.3,24.3,Saudi Arabia,Unknown,Hijacking with Misuse,"['ASIA', 'MENA', 'MEA', 'AFRICA', 'NAF', 'GULFC']"
127,2010-01-01,2012-01-01,,,2012-01-01,2012-01-01,730,,,730,730,24.3,,,24.3,24.3,24.3,Egypt,Unknown,Data theft,"['ASIA', 'MENA', 'MEA', 'AFRICA', 'NAF', 'GULFC']"
127,2010-01-01,2012-01-01,,,2012-01-01,2012-01-01,730,,,730,730,24.3,,,24.3,24.3,24.3,Egypt,Unknown,Hijacking with Misuse,"['ASIA', 'MENA', 'MEA', 'AFRICA', 'NAF', 'GULFC']"
128,2010-01-01,,2016-01-01,,,,,2191,,,,,73.0,,,,73.0,United States,China,Data theft,"['NATO', 'NORTHAM']"
129,2010-01-01,,,,2011-01-01,,,,,365,,,,,12.2,,12.2,Malaysia,Malaysia,Disruption,"['ASIA', 'SCS', 'SEA']"
130,2010-01-01,2014-01-01,,,,,1461,,,,,48.7,,,,,48.7,Eastern Europe,Russia,Data theft,['NO_REGION']
131,2010-01-01,,2011-01-01,,,,,365,,,,,12.2,,,,12.2,India,Pakistan,Data theft,"['ASIA', 'SASIA', 'SCO']"
132,2010-01-01,2015-01-01,,,,,1826,,,,,60.9,,,,,60.9,China,China,Data theft,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO', 'SEA']"
132,2010-01-01,2015-01-01,,,,,1826,,,,,60.9,,,,,60.9,Hong Kong,China,Data theft,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO', 'SEA']"
132,2010-01-01,2015-01-01,,,,,1826,,,,,60.9,,,,,60.9,Philippines,China,Data theft,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO', 'SEA']"
133,2010-01-01,2018-01-01,2018-01-01,,,,2922,2922,,,,97.4,97.4,,,,97.4,United Kingdom,China,Data theft,"['EUROPE', 'NATO', 'EU(MS)', 'NORTHEU', 'WESTEU', 'NORTHAM']"
