ID,start_date,year,month,receiver_country,initiator_country,cyber_conflict_issue,offline_conflict_issue_subcode,receiver_region
2,2000-01-01,2000.0,1.0,Armenia,Azerbaijan,Territory,,"['ASIA', 'CENTAS', 'CSTO']"
2,2000-01-01,2000.0,1.0,Armenia,Azerbaijan,Secession,,"['ASIA', 'CENTAS', 'CSTO']"
3,2000-01-01,2000.0,1.0,Azerbaijan,Armenia,Territory,,"['ASIA', 'CENTAS']"
3,2000-01-01,2000.0,1.0,Azerbaijan,Armenia,Secession,,"['ASIA', 'CENTAS']"
4,2000-05-20,2000.0,5.0,Taiwan,China,National power,,"['ASIA', 'SCS']"
5,2001-05-01,2001.0,5.0,United States,China,Other,,"['NATO', 'NORTHAM']"
6,2001-05-01,2001.0,5.0,China,United States,Other,,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
7,2001-05-01,2001.0,5.0,Japan,"Korea, Republic of",System / ideology,,"['ASIA', 'SCS', 'NEA']"
7,2001-05-01,2001.0,5.0,Japan,"Korea, Republic of",Other,,"['ASIA', 'SCS', 'NEA']"
8,2001-08-01,2001.0,8.0,Afghanistan,Unknown,System / ideology,,"['ASIA', 'SASIA']"
8,2001-08-01,2001.0,8.0,Afghanistan,Unknown,Cyber-specific,,"['ASIA', 'SASIA']"
9,2001-10-22,2001.0,10.0,India,Pakistan,System / ideology,,"['ASIA', 'SASIA', 'SCO']"
9,2001-10-22,2001.0,10.0,India,Pakistan,Territory,,"['ASIA', 'SASIA', 'SCO']"
9,2001-10-22,2001.0,10.0,India,Pakistan,Resources,,"['ASIA', 'SASIA', 'SCO']"
10,2002-01-01,2002.0,1.0,United States,United States,National power,,"['NATO', 'NORTHAM']"
11,2003-01-01,2003.0,1.0,United States,China,Unknown,,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
11,2003-01-01,2003.0,1.0,United Kingdom,China,Unknown,,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
13,2004-04-01,2004.0,4.0,"Korea, Republic of","Korea, Democratic People's Republic of",System / ideology,,"['ASIA', 'SCS', 'NEA']"
14,2004-07-01,2004.0,7.0,Taiwan,China,System / ideology,,"['ASIA', 'SCS']"
14,2004-07-01,2004.0,7.0,Taiwan,China,International power,,"['ASIA', 'SCS']"
15,2004-07-01,2004.0,7.0,"Korea, Republic of",China,Unknown,,"['ASIA', 'SCS', 'NEA']"
16,2004-07-01,2004.0,7.0,Greece,United States,International power,,"['EUROPE', 'NATO', 'EU(MS)', 'BALKANS']"
17,2005-01-01,2005.0,1.0,Japan,China,System / ideology,,"['ASIA', 'SCS', 'NEA']"
17,2005-01-01,2005.0,1.0,Japan,China,International power,,"['ASIA', 'SCS', 'NEA']"
17,2005-01-01,2005.0,1.0,Japan,"Korea, Republic of",System / ideology,,"['ASIA', 'SCS', 'NEA']"
17,2005-01-01,2005.0,1.0,Japan,"Korea, Republic of",International power,,"['ASIA', 'SCS', 'NEA']"
18,2005-01-01,2005.0,1.0,India,China,Unknown,,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,United States,China,Unknown,,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,Vietnam,China,Unknown,,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,Myanmar,China,Unknown,,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,Philippines,China,Unknown,,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,"Korea, Republic of",China,Unknown,,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,Singapore,China,Unknown,,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,Saudi Arabia,China,Unknown,,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,Thailand,China,Unknown,,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
19,2005-01-01,2005.0,1.0,United States,Brazil,Unknown,,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,2005-01-01,2005.0,1.0,Brazil,Brazil,Unknown,,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,2005-01-01,2005.0,1.0,France,Brazil,Unknown,,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,2005-01-01,2005.0,1.0,Kazakhstan,Brazil,Unknown,,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,2005-01-01,2005.0,1.0,United Arab Emirates,Brazil,Unknown,,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,2005-01-01,2005.0,1.0,India,Brazil,Unknown,,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,2005-01-01,2005.0,1.0,Russia,Brazil,Unknown,,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
20,2005-02-01,2005.0,2.0,Kyrgyzstan,Kyrgyzstan,System / ideology,,"['ASIA', 'CENTAS', 'CSTO', 'SCS']"
20,2005-02-01,2005.0,2.0,Kyrgyzstan,Kyrgyzstan,National power,,"['ASIA', 'CENTAS', 'CSTO', 'SCS']"
21,2006-01-01,2006.0,1.0,Qatar,United States,International power,,"['ASIA', 'MENA', 'MEA', 'GULFC']"
22,2006-01-01,2006.0,1.0,Russia,United States,System / ideology,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO']"
22,2006-01-01,2006.0,1.0,Russia,United States,International power,,"['EUROPE', 'EASTEU', 'CSTO', 'SCO']"
23,2006-01-01,2006.0,1.0,United States,China,International power,,"['NATO', 'NORTHAM']"
24,2006-01-01,2006.0,1.0,United States,China,Unknown,,"['NATO', 'NORTHAM']"
25,2006-01-01,2006.0,1.0,United States,China,Unknown,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,Canada,China,Unknown,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,"Korea, Republic of",China,Unknown,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,Taiwan,China,Unknown,,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
