ID,incident_type,weighted_cyber_intensity,start_date,year,month,receiver_country,initiator_country,receiver_region
2,Disruption,1.0,2000-01-01,2000.0,1.0,Armenia,Azerbaijan,"['ASIA', 'CENTAS', 'CSTO']"
3,Disruption,1.0,2000-01-01,2000.0,1.0,Azerbaijan,Armenia,"['ASIA', 'CENTAS']"
4,Disruption,1.0,2000-05-20,2000.0,5.0,Taiwan,China,"['ASIA', 'SCS']"
5,Disruption,1.0,2001-05-01,2001.0,5.0,United States,China,"['NATO', 'NORTHAM']"
6,Disruption,1.0,2001-05-01,2001.0,5.0,China,United States,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
7,Disruption,1.0,2001-05-01,2001.0,5.0,Japan,"Korea, Republic of","['ASIA', 'SCS', 'NEA']"
8,Disruption,1.0,2001-08-01,2001.0,8.0,Afghanistan,Unknown,"['ASIA', 'SASIA']"
9,Disruption,1.0,2001-10-22,2001.0,10.0,India,Pakistan,"['ASIA', 'SASIA', 'SCO']"
10,Data theft,2.0,2002-01-01,2002.0,1.0,United States,United States,"['NATO', 'NORTHAM']"
11,Data theft,2.0,2003-01-01,2003.0,1.0,United States,China,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
11,Data theft,2.0,2003-01-01,2003.0,1.0,United Kingdom,China,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
13,Disruption,1.0,2004-04-01,2004.0,4.0,"Korea, Republic of","Korea, Democratic People's Republic of","['ASIA', 'SCS', 'NEA']"
14,Disruption,1.0,2004-07-01,2004.0,7.0,Taiwan,China,"['ASIA', 'SCS']"
15,Data theft,1.0,2004-07-01,2004.0,7.0,"Korea, Republic of",China,"['ASIA', 'SCS', 'NEA']"
16,Data theft,3.0,2004-07-01,2004.0,7.0,Greece,United States,"['EUROPE', 'NATO', 'EU(MS)', 'BALKANS']"
16,Hijacking with Misuse,3.0,2004-07-01,2004.0,7.0,Greece,United States,"['EUROPE', 'NATO', 'EU(MS)', 'BALKANS']"
17,Disruption,1.0,2005-01-01,2005.0,1.0,Japan,China,"['ASIA', 'SCS', 'NEA']"
17,Disruption,1.0,2005-01-01,2005.0,1.0,Japan,"Korea, Republic of","['ASIA', 'SCS', 'NEA']"
18,Data theft,2.0,2005-01-01,2005.0,1.0,India,China,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Data theft,2.0,2005-01-01,2005.0,1.0,United States,China,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Data theft,2.0,2005-01-01,2005.0,1.0,Vietnam,China,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Data theft,2.0,2005-01-01,2005.0,1.0,Myanmar,China,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Data theft,2.0,2005-01-01,2005.0,1.0,Philippines,China,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Data theft,2.0,2005-01-01,2005.0,1.0,"Korea, Republic of",China,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Data theft,2.0,2005-01-01,2005.0,1.0,Singapore,China,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Data theft,2.0,2005-01-01,2005.0,1.0,Saudi Arabia,China,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Data theft,2.0,2005-01-01,2005.0,1.0,Thailand,China,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
19,Data theft,4.0,2005-01-01,2005.0,1.0,United States,Brazil,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,Data theft,4.0,2005-01-01,2005.0,1.0,Brazil,Brazil,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,Data theft,4.0,2005-01-01,2005.0,1.0,France,Brazil,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,Data theft,4.0,2005-01-01,2005.0,1.0,Kazakhstan,Brazil,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,Data theft,4.0,2005-01-01,2005.0,1.0,United Arab Emirates,Brazil,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,Data theft,4.0,2005-01-01,2005.0,1.0,India,Brazil,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,Data theft,4.0,2005-01-01,2005.0,1.0,Russia,Brazil,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,Hijacking with Misuse,4.0,2005-01-01,2005.0,1.0,United States,Brazil,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,Hijacking with Misuse,4.0,2005-01-01,2005.0,1.0,Brazil,Brazil,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
