ID,start_date,year,month,receiver_country,initiator_country,inclusion_criteria,inclusion_criteria_subcode,incident_type,receiver_region
2,2000-01-01,2000.0,1.0,Armenia,Azerbaijan,Non politicised attack<br>on political target(s),,Disruption,"['ASIA', 'CENTAS', 'CSTO']"
3,2000-01-01,2000.0,1.0,Azerbaijan,Armenia,Non politicised attack<br>on political target(s),,Disruption,"['ASIA', 'CENTAS']"
4,2000-05-20,2000.0,5.0,Taiwan,China,Attack conducted by<br>non-state actors with political goals,,Disruption,"['ASIA', 'SCS']"
4,2000-05-20,2000.0,5.0,Taiwan,China,Non politicised attack<br>on political target(s),,Disruption,"['ASIA', 'SCS']"
5,2001-05-01,2001.0,5.0,United States,China,Attack conducted by<br>non-state actors with political goals,,Disruption,"['NATO', 'NORTHAM']"
5,2001-05-01,2001.0,5.0,United States,China,Politicised attack<br>on political target(s),,Disruption,"['NATO', 'NORTHAM']"
6,2001-05-01,2001.0,5.0,China,United States,Attack conducted by<br>non-state actors with political goals,,Disruption,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
6,2001-05-01,2001.0,5.0,China,United States,Politicised attack<br>on political target(s),,Disruption,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
7,2001-05-01,2001.0,5.0,Japan,"Korea, Republic of",Attack conducted by<br>non-state actors with political goals,,Disruption,"['ASIA', 'SCS', 'NEA']"
8,2001-08-01,2001.0,8.0,Afghanistan,Unknown,Attack conducted by<br>non-state actors with political goals,,Disruption,"['ASIA', 'SASIA']"
8,2001-08-01,2001.0,8.0,Afghanistan,Unknown,Non politicised attack<br>on political target(s),,Disruption,"['ASIA', 'SASIA']"
9,2001-10-22,2001.0,10.0,India,Pakistan,Attack conducted by<br>non-state actors with political goals,,Disruption,"['ASIA', 'SASIA', 'SCO']"
10,2002-01-01,2002.0,1.0,United States,United States,Attack conducted by<br>a nation state,,Data theft,"['NATO', 'NORTHAM']"
10,2002-01-01,2002.0,1.0,United States,United States,Non politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM']"
11,2003-01-01,2003.0,1.0,United States,China,Attack conducted by<br>non-state actors with political goals,Attack conducted by<br>a state-affiliated group,Data theft,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
11,2003-01-01,2003.0,1.0,United Kingdom,China,Attack conducted by<br>non-state actors with political goals,Attack conducted by<br>a state-affiliated group,Data theft,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
13,2004-04-01,2004.0,4.0,"Korea, Republic of","Korea, Democratic People's Republic of",Attack conducted by<br>a nation state,,Disruption,"['ASIA', 'SCS', 'NEA']"
13,2004-04-01,2004.0,4.0,"Korea, Republic of","Korea, Democratic People's Republic of",Non politicised attack<br>on political target(s),,Disruption,"['ASIA', 'SCS', 'NEA']"
14,2004-07-01,2004.0,7.0,Taiwan,China,Attack conducted by<br>non-state actors with political goals,,Disruption,"['ASIA', 'SCS']"
14,2004-07-01,2004.0,7.0,Taiwan,China,Politicised attack<br>on political target(s),,Disruption,"['ASIA', 'SCS']"
15,2004-07-01,2004.0,7.0,"Korea, Republic of",China,Attack conducted by<br>non-state actors with political goals,Attack conducted by<br>a state-affiliated group,Data theft,"['ASIA', 'SCS', 'NEA']"
15,2004-07-01,2004.0,7.0,"Korea, Republic of",China,Attack conducted by<br>non-state actors with political goals,,Data theft,"['ASIA', 'SCS', 'NEA']"
15,2004-07-01,2004.0,7.0,"Korea, Republic of",China,Non politicised attack<br>on political target(s),Attack conducted by<br>a state-affiliated group,Data theft,"['ASIA', 'SCS', 'NEA']"
15,2004-07-01,2004.0,7.0,"Korea, Republic of",China,Non politicised attack<br>on political target(s),,Data theft,"['ASIA', 'SCS', 'NEA']"
16,2004-07-01,2004.0,7.0,Greece,United States,Attack conducted by<br>a nation state,,Data theft,"['EUROPE', 'NATO', 'EU(MS)', 'BALKANS']"
16,2004-07-01,2004.0,7.0,Greece,United States,Attack conducted by<br>a nation state,,Hijacking with Misuse,"['EUROPE', 'NATO', 'EU(MS)', 'BALKANS']"
16,2004-07-01,2004.0,7.0,Greece,United States,Politicised attack<br>on political target(s),,Data theft,"['EUROPE', 'NATO', 'EU(MS)', 'BALKANS']"
16,2004-07-01,2004.0,7.0,Greece,United States,Politicised attack<br>on political target(s),,Hijacking with Misuse,"['EUROPE', 'NATO', 'EU(MS)', 'BALKANS']"
17,2005-01-01,2005.0,1.0,Japan,China,Attack conducted by<br>non-state actors with political goals,,Disruption,"['ASIA', 'SCS', 'NEA']"
17,2005-01-01,2005.0,1.0,Japan,China,Non politicised attack<br>on political target(s),,Disruption,"['ASIA', 'SCS', 'NEA']"
17,2005-01-01,2005.0,1.0,Japan,"Korea, Republic of",Attack conducted by<br>non-state actors with political goals,,Disruption,"['ASIA', 'SCS', 'NEA']"
17,2005-01-01,2005.0,1.0,Japan,"Korea, Republic of",Non politicised attack<br>on political target(s),,Disruption,"['ASIA', 'SCS', 'NEA']"
