ID,start_date,receiver_country,incident_type,initiator_country,initiator_category,initiator_name,receiver_region
2,2000-01-01,Armenia,Disruption,Azerbaijan,Non-state-group,Not available,"['ASIA', 'CENTAS', 'CSTO']"
3,2000-01-01,Azerbaijan,Disruption,Armenia,Non-state-group,Liazor,"['ASIA', 'CENTAS']"
4,2000-05-20,Taiwan,Disruption,China,Unknown - not attributed,,"['ASIA', 'SCS']"
5,2001-05-01,United States,Disruption,China,Non-state-group,Honker Union,"['NATO', 'NORTHAM']"
6,2001-05-01,China,Disruption,United States,Non-state-group,,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
7,2001-05-01,Japan,Disruption,"Korea, Republic of",Non-state-group,Antijapan,"['ASIA', 'SCS', 'NEA']"
8,2001-08-01,Afghanistan,Disruption,Unknown,Non-state-group,Not available,"['ASIA', 'SASIA']"
9,2001-10-22,India,Disruption,Pakistan,Non-state-group,Not available,"['ASIA', 'SASIA', 'SCO']"
10,2002-01-01,United States,Data theft,United States,State,NSA/Equation Group,"['NATO', 'NORTHAM']"
11,2003-01-01,United States,Data theft,China,"Non-state actor, state-affiliation suggested",,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
11,2003-01-01,United Kingdom,Data theft,China,"Non-state actor, state-affiliation suggested",,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
13,2004-04-01,"Korea, Republic of",Disruption,"Korea, Democratic People's Republic of",State,,"['ASIA', 'SCS', 'NEA']"
14,2004-07-01,Taiwan,Disruption,China,Individual hacker(s),,"['ASIA', 'SCS']"
15,2004-07-01,"Korea, Republic of",Data theft,China,"Non-state actor, state-affiliation suggested",,"['ASIA', 'SCS', 'NEA']"
16,2004-07-01,Greece,Data theft,United States,State,NSA/Equation Group,"['EUROPE', 'NATO', 'EU(MS)', 'BALKANS']"
16,2004-07-01,Greece,Hijacking with Misuse,United States,State,NSA/Equation Group,"['EUROPE', 'NATO', 'EU(MS)', 'BALKANS']"
17,2005-01-01,Japan,Disruption,China,Not available,Not available,"['ASIA', 'SCS', 'NEA']"
17,2005-01-01,Japan,Disruption,"Korea, Republic of",Not available,Not available,"['ASIA', 'SCS', 'NEA']"
18,2005-01-01,India,Data theft,China,"Non-state actor, state-affiliation suggested","APT30/Raspberry Typhoon fka RADIUM/Naikon/G0013 (PLA, Unit 78020)","['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,India,Data theft,China,"Non-state actor, state-affiliation suggested",PLA Unit 78020,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,United States,Data theft,China,"Non-state actor, state-affiliation suggested","APT30/Raspberry Typhoon fka RADIUM/Naikon/G0013 (PLA, Unit 78020)","['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,United States,Data theft,China,"Non-state actor, state-affiliation suggested",PLA Unit 78020,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,Vietnam,Data theft,China,"Non-state actor, state-affiliation suggested","APT30/Raspberry Typhoon fka RADIUM/Naikon/G0013 (PLA, Unit 78020)","['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,Vietnam,Data theft,China,"Non-state actor, state-affiliation suggested",PLA Unit 78020,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,Myanmar,Data theft,China,"Non-state actor, state-affiliation suggested","APT30/Raspberry Typhoon fka RADIUM/Naikon/G0013 (PLA, Unit 78020)","['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,Myanmar,Data theft,China,"Non-state actor, state-affiliation suggested",PLA Unit 78020,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
