ID,receiver_country,initiator_country,weighted_cyber_intensity,initiator_name,initiator_category,cyber_conflict_issue,receiver_region
2,Armenia,Azerbaijan,1.0,Unknown,Non-state-group,Territory,"['ASIA', 'CENTAS', 'CSTO']"
2,Armenia,Azerbaijan,1.0,Unknown,Non-state-group,Secession,"['ASIA', 'CENTAS', 'CSTO']"
3,Azerbaijan,Armenia,1.0,Liazor,Non-state-group,Territory,"['ASIA', 'CENTAS']"
3,Azerbaijan,Armenia,1.0,Liazor,Non-state-group,Secession,"['ASIA', 'CENTAS']"
4,Taiwan,China,1.0,,Unknown - not attributed,National power,"['ASIA', 'SCS']"
5,United States,China,1.0,Honker Union,Non-state-group,Other,"['NATO', 'NORTHAM']"
6,China,United States,1.0,,Non-state-group,Other,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
7,Japan,"Korea, Republic of",1.0,Antijapan,Non-state-group,System / ideology,"['ASIA', 'SCS', 'NEA']"
7,Japan,"Korea, Republic of",1.0,Antijapan,Non-state-group,Other,"['ASIA', 'SCS', 'NEA']"
8,Afghanistan,Unknown,1.0,Unknown,Non-state-group,System / ideology,"['ASIA', 'SASIA']"
8,Afghanistan,Unknown,1.0,Unknown,Non-state-group,Cyber-specific,"['ASIA', 'SASIA']"
9,India,Pakistan,1.0,Unknown,Non-state-group,System / ideology,"['ASIA', 'SASIA', 'SCO']"
9,India,Pakistan,1.0,Unknown,Non-state-group,Territory,"['ASIA', 'SASIA', 'SCO']"
9,India,Pakistan,1.0,Unknown,Non-state-group,Resources,"['ASIA', 'SASIA', 'SCO']"
10,United States,United States,2.0,NSA/Equation Group,State,National power,"['NATO', 'NORTHAM']"
11,United States,China,2.0,,"Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
11,United Kingdom,China,2.0,,"Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
13,"Korea, Republic of","Korea, Democratic People's Republic of",1.0,,State,System / ideology,"['ASIA', 'SCS', 'NEA']"
14,Taiwan,China,1.0,None,Individual hacker(s),System / ideology,"['ASIA', 'SCS']"
14,Taiwan,China,1.0,None,Individual hacker(s),International power,"['ASIA', 'SCS']"
15,"Korea, Republic of",China,1.0,,"Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SCS', 'NEA']"
16,Greece,United States,3.0,NSA/Equation Group,State,International power,"['EUROPE', 'NATO', 'EU(MS)', 'BALKANS']"
17,Japan,China,1.0,Unknown,Unknown,System / ideology,"['ASIA', 'SCS', 'NEA']"
17,Japan,China,1.0,Unknown,Unknown,International power,"['ASIA', 'SCS', 'NEA']"
17,Japan,"Korea, Republic of",1.0,Unknown,Unknown,System / ideology,"['ASIA', 'SCS', 'NEA']"
17,Japan,"Korea, Republic of",1.0,Unknown,Unknown,International power,"['ASIA', 'SCS', 'NEA']"
18,India,China,2.0,"APT30/Naikon/G0013 (PLA, Unit 78020)","Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,India,China,2.0,PLA Unit 78020,"Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,United States,China,2.0,"APT30/Naikon/G0013 (PLA, Unit 78020)","Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
