ID,start_date,year,month,initiator_country,incident_type,receiver_country,receiver_category,receiver_category_subcode,receiver_region
2,2000-01-01,2000.0,1.0,Azerbaijan,Disruption,Armenia,State institutions / political system,Not specified,"['ASIA', 'CENTAS', 'CSTO']"
2,2000-01-01,2000.0,1.0,Azerbaijan,Disruption,Armenia,Media,,"['ASIA', 'CENTAS', 'CSTO']"
2,2000-01-01,2000.0,1.0,Azerbaijan,Disruption,Armenia,Other,,"['ASIA', 'CENTAS', 'CSTO']"
3,2000-01-01,2000.0,1.0,Armenia,Disruption,Azerbaijan,Social groups,Advocacy / activists (e.g. human rights organizations),"['ASIA', 'CENTAS']"
3,2000-01-01,2000.0,1.0,Armenia,Disruption,Azerbaijan,Corporate Targets,,"['ASIA', 'CENTAS']"
3,2000-01-01,2000.0,1.0,Armenia,Disruption,Azerbaijan,End user(s) / specially protected groups,,"['ASIA', 'CENTAS']"
3,2000-01-01,2000.0,1.0,Armenia,Disruption,Azerbaijan,Other,,"['ASIA', 'CENTAS']"
4,2000-05-20,2000.0,5.0,China,Disruption,Taiwan,State institutions / political system,Government / ministries,"['ASIA', 'SCS']"
5,2001-05-01,2001.0,5.0,China,Disruption,United States,State institutions / political system,Government / ministries,"['NATO', 'NORTHAM']"
5,2001-05-01,2001.0,5.0,China,Disruption,United States,State institutions / political system,Not specified,"['NATO', 'NORTHAM']"
6,2001-05-01,2001.0,5.0,United States,Disruption,China,Other,,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
7,2001-05-01,2001.0,5.0,"Korea, Republic of",Disruption,Japan,Social groups,Not Specified,"['ASIA', 'SCS', 'NEA']"
7,2001-05-01,2001.0,5.0,"Korea, Republic of",Disruption,Japan,Corporate Targets,,"['ASIA', 'SCS', 'NEA']"
7,2001-05-01,2001.0,5.0,"Korea, Republic of",Disruption,Japan,End user(s) / specially protected groups,,"['ASIA', 'SCS', 'NEA']"
8,2001-08-01,2001.0,8.0,Unknown,Disruption,Afghanistan,Critical infrastructure,Health,"['ASIA', 'SASIA']"
9,2001-10-22,2001.0,10.0,Pakistan,Disruption,India,Media,,"['ASIA', 'SASIA', 'SCO']"
10,2002-01-01,2002.0,1.0,United States,Data theft,United States,State institutions / political system,Legislative,"['NATO', 'NORTHAM']"
10,2002-01-01,2002.0,1.0,United States,Data theft,United States,State institutions / political system,Civil service / administration,"['NATO', 'NORTHAM']"
10,2002-01-01,2002.0,1.0,United States,Data theft,United States,State institutions / political system,Election infrastructure / related systems,"['NATO', 'NORTHAM']"
10,2002-01-01,2002.0,1.0,United States,Data theft,United States,Social groups,Religious,"['NATO', 'NORTHAM']"
10,2002-01-01,2002.0,1.0,United States,Data theft,United States,End user(s) / specially protected groups,,"['NATO', 'NORTHAM']"
10,2002-01-01,2002.0,1.0,United States,Data theft,United States,Science,,"['NATO', 'NORTHAM']"
11,2003-01-01,2003.0,1.0,China,Data theft,United States,State institutions / political system,Government / ministries,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
11,2003-01-01,2003.0,1.0,China,Data theft,United States,State institutions / political system,Military,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
11,2003-01-01,2003.0,1.0,China,Data theft,United States,Critical infrastructure,Defence industry,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
11,2003-01-01,2003.0,1.0,China,Data theft,United Kingdom,State institutions / political system,Government / ministries,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
11,2003-01-01,2003.0,1.0,China,Data theft,United Kingdom,State institutions / political system,Military,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
